Person,Age,Gender,State,Children,Salary,Opinion
1,35,Male,Minnesota,1,65400,5
2,61,Female,Texas,2,62000,1
3,35,Male,Ohio,0,63200,3
4,37,Male,Florida,2,52000,5
5,32,Female,California,3,81400,1
6,33,Female,New York,3,46300,5
7,65,Female,Minnesota,2,49600,1
8,45,Male,New York,1,45900,5
9,40,Male,Texas,3,47700,4
10,32,Female,Texas,1,59900,4
11,57,Male,New York,1,48100,4
12,38,Female,Virginia,0,58100,3
13,37,Female,Illinois,2,56000,1
14,42,Female,Virginia,2,53400,1
15,38,Female,New York,2,39000,2
16,48,Male,Michigan,1,61500,2
17,40,Male,Ohio,0,37700,1
18,57,Female,Michigan,2,36700,4
19,44,Male,Florida,2,45200,3
20,40,Male,Michigan,0,59000,4
21,21,Female,Minnesota,2,54300,2
22,49,Male,New York,1,62100,4
23,34,Male,New York,0,78000,3
24,49,Male,Arizona,0,43200,5
25,40,Male,Arizona,1,44500,3
26,38,Male,Ohio,1,43300,1
27,27,Male,Illinois,3,45400,2
28,63,Male,Michigan,2,53900,1
29,52,Male,California,1,44100,3
30,48,Female,New York,2,31000,4
